Year,Null,Afghanistan,Albania,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bolivia,Bosnia,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Haiti,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kenya,"Korea, South",Kuwait,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Mali,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Scotland,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,The Bahamas,Trinidadian and Tobagonian,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Zimbabwe
1949,0,0,0,0,0,1,17,0,0,211,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,494,0,173,0,0,11,0,1,0,0,0,0,0,0,8,101,1,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,6,0,0,0,2,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,146,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,68,245,0,0,0,0
1950,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,1,114,0,98,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,23,148,0,0,0,0
1951,0,0,0,2,0,0,4,0,0,10,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,261,0,103,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,30,153,0,0,0,0
1952,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,0,157,0,0,0,0,2,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,28,205,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,22,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,56,0,104,0,0,0,0,1,1,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,13,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,22,158,0,0,0,0
1954,0,0,0,0,29,0,11,0,0,12,0,0,0,1,0,0,0,0,5,1,0,1,0,0,0,0,2,0,0,8,0,0,0,0,0,2,259,0,127,0,0,0,0,0,0,0,0,0,0,0,2,31,47,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,30,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,11,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,32,166,0,0,0,0
1955,0,0,0,0,0,1,2,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,107,0,84,0,2,1,0,0,0,0,0,0,0,0,1,15,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,16,135,0,0,0,0
1956,0,0,0,0,2,0,7,0,0,8,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,1,0,34,1,0,0,0,0,0,1,263,0,282,0,0,0,0,1,0,0,0,0,0,1,0,45,4,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,1,0,6,0,0,0,0,0,0,1,0,3,0,8,0,0,0,0,0,0,0,0,42,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,46,278,1,1,0,0
1957,0,0,0,0,2,0,6,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,31,0,53,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,113,0,0,0,0
1958,0,0,0,0,2,2,1,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,38,0,0,0,0,0,22,268,0,63,0,0,0,1,0,0,0,0,0,0,1,0,39,9,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,33,0,0,7,34,0,0,0,0,0,0,0,1,0,0,0,38,93,0,0,0,0
